,name,siteName,index,contents,engContents
636,&#58250;투다,&#58250;투다,IS03S,다투다.,Dispute
637,&#58250;리다¹,&#58250;리다¹,IS03S," 쫓다, 몰다.",Drive away
638,디밀다,디밀다,IS03S,안으로 밀어넣다.,Push in
639,들싹&#62775;다,들싹&#62775;다,IS03S,들썩이다.,Stir up
640,들르다,들르다,IS03S,들다.,Lift
641,들러가다,들러가다,IS03S,훔쳐가다.,Steal
642,드르쓰다,드르쓰다,IS03S,마시다.,Drink
643,둥글리다,둥글리다,IS03S,=둥굴이다. 굴리다.,Roll
644,둥글다,둥글다,IS03S,뒹굴다. 굴다.,Roll about
645,두리다,두리다,IS03S,미치다.,Go crazy
646,되와지다,되와지다,IS03S,"뙤와지다. 꼬이다.
",Be entangled
647,되쓰다,되쓰다,IS03S,뒤집다.,Turn over
648,되싸지다²`,되싸지다²`,IS03S,죽다'를 얕잡은 말.,Die
649,동나다,동나다,IS03S,동강나다.,Go to pieces
650,동겨메다,동겨메다,IS03S,동여매다.,Tie tightly
651,도왜다,도왜다,IS03S,돕다.,Help
652,데우치다,데우치다,IS03S,데치다.,Boil slightly
653,데우다,데우다,IS03S,식은 것을 슬쩍 삶아 뜨겁게 하다.,Warm up again food that got cold
654,데미다,데미다,IS03S,물건을 쌓다.,Pile up stuff
655,데령&#62775;다,데령&#62775;다,IS03S,어른에게 드리다.,Give to a senior
656,덤방&#62775;다,덤방&#62775;다,IS03S,풀이 무성하다.,Overgrown with grass
657,던덕지다,던덕지다,IS03S,얽히고 뭉쳐지다.,Become entangled and caked
658,더끄다,더끄다,IS03S,①덮다. ②닫다.,"Cover, close"
659,댕기다,댕기다,IS03S,=뎅기다=&#58250;니다.=다니다.,Get around
660,댓구&#62775;다,댓구&#62775;다,IS03S,반항하여 대답하다.,Talk back
661,담다,담다,IS03S,김치. 젓 따위를 담그다.,"Pickle, preserve with salt"
662,다&#62775;다,다&#62775;다,IS03S,끝내다.,Finish
663,다조치다,다조치다,IS03S,재촉하다.,Urge
664,다끄(닦으)다,다끄(닦으)다,IS03S, = 따끄(&#46386;으)다 ① &#46386;다. ② 탁주를 끊여 소주를 만들다.,Wipe
665,다긋다,다긋다,IS03S,서두르다.,Make haste
666,&#58007;추다,&#58007;추다,IS02S,낮추다.,Lower
667,&#58005;그다,&#58005;그다,IS02S," 젖다, 적시다.",Wet
668,&#57992;싹&#62775;다,&#57992;싹&#62775;다,IS02S,무너지다.,Collapse
669,&#57992;려불다,&#57992;려불다,IS02S,= 데껴불다. =데끼다. 던져 버리다.,Throw out
670,&#57992;뛰다,&#57992;뛰다,IS02S,날뛰다.,Act violently
671,&#57992;다¹,&#57992;다¹,IS02S,날다(飛).,Fly
672,&#57987;리우다,&#57987;리우다,IS02S," 내리우다. 물건값을 깎다, 늘리어 펴다.",Cut down the price
673,&#57987;리다,&#57987;리다,IS02S," 내리다, *값이 &#57987;리다.",Lower
674,&#57987;닥거리다,&#57987;닥거리다,IS02S,"  = &#57987;닥이다 노닥거리다, 지껄리다.",Talk rubbish
675,&#57987;누다,&#57987;누다,IS02S,나누다.,Share
676,늘루다,늘루다,IS02S,늘리다.,Extend
677,눅지다,눅지다,IS02S," 지우다, 눕히다.",Lay down
678,놓이다,놓이다,IS02S,놓다,Put
679,넹기다,넹기다,IS02S,넘기다,Make pass over
680,넬리다,넬리다,IS02S,= &#57992;리다 = 데끼다. 던지다.,Throw
681,네슬르다,네슬르다,IS02S,싫어하다.,Dislike
682,넘어가다,넘어가다,IS02S," 지나가다, 건너가다.",Pass by
683,넋들이다,넋들이다,IS02S,넋을 되찾게 하다.,Refresh
684,냉기다,냉기다,IS02S,남기다.,Leave behind
685,내치다,내치다,IS02S," 뱉다(吐), 토악질하다.",Spit out
686,내&#50507;다,내&#50507;다,IS02S,내놓다.,Give away
687,내불다,내불다,IS02S,내버리다.,Dump
688,내두르다,내두르다,IS02S,휘두르다.,Wield
689,날르다,날르다,IS02S,나르다.,Carry
690,나&#58254;다,나&#58254;다,IS02S,달아나다.,Run away
691,나무래다,나무래다,IS02S,나무라다.,Scold
692,나끄(낚으)다,나끄(낚으)다,IS02S,낚다.,Catch
693,&#63366;&#63582;&#63627;다,&#63366;&#63582;&#63627;다,IS01D,깔다.,Lay
694,&#57798;추다,&#57798;추다,IS01S,갖추다.,Be equipped
695,&#57798;다,&#57798;다,IS01S,갖다(持).,Hold
696,&#57786;추다,&#57786;추다,IS01S,감추다.,Hide
697,&#57773;라&#50522;다,&#57773;라&#50522;다,IS01S,가라앉다(沈).,Sink
698,&#57773;다,&#57773;다,IS01S," ① 갈다(磨). ② 바꾸다, 갈다(替).",Exchange
699,&#57773;기다,&#57773;기다,IS01S,① 갈기다. ② 오줌을 힘차게 싸다.,Make water hard
700,&#57771;다,&#57771;다,IS01S,이르다(曰). 말하다.,Speak
701,&#57768;쥐다,&#57768;쥐다,IS01S,꽉 잡다.,Hold tight
702,&#57768;주다,&#57768;주다,IS01S,할퀴다.,Scratch
703,&#57767;리치다,&#57767;리치다,IS01S," 가르치다, 가리키다.",Teach
704,&#57767;리끼다,&#57767;리끼다,IS01S," 가리끼다, 가리우다.",Indicate something
705,&#57767;딱&#62775;다,&#57767;딱&#62775;다,IS01S,몸이나 물건을 조금 움직이다.,Move something or one's body a bit
706,&#57767;득다,&#57767;득다,IS01S,차다(滿),Loaded with stuff in the shed
707,&#57767;다듬다,&#57767;다듬다,IS01S,가다듬다,Arrange
708,&#57767;끼다,&#57767;끼다,IS01S,목이나 숨이 막히다,Suffocated
709,손메,손메,IS07S,"솜씨
",Talent
710,쏙²,쏙²,IS07D,"여물
",Cattle feed
711,소본,소본,IS07S,"벌초
",Mowing
712,소도리,소도리,IS07S,"소도리-질=소드리=소드리-질. 쏘개질, 망질, 말전주
",Stirring up a rumor
713,소도,소도,IS07S,"효도
",Fillial piety
714,소관,소관,IS07S,"소견, 생각
",Opinion
715,셍작,셍작,IS07S,"생판
",Ignorant of something
716,셍일,셍일,IS07S,"생일
",Birthday
717,이불포,이불포,IS08S,"이불 보자기, 이불잇
",Bedsheet
718,이불자리,이불자리,IS08S,"이불요
",Bedding
719,이불요,이불요,IS08S,"이불자리. 이부자리
",Bedding
720,우티,우티,IS08S,"웃옷
",Upper garment
721,우투,우투,IS08S,"외투
",Jacket
722,우장,우장,IS08S,"비올때 둘러쓰는 것
",Rain coat
723,옷짓,옷짓,IS08S,"옷깃
",Collar
724,오매기,오매기,IS08S,"술오매기
",Rice cake to be an ingredient of alcohol
725,옛,옛,IS08S,"엿
","Yeot, Korean bon bon"
726,언물,언물,IS08S,"찬물
",Cold water
727,약괴,약괴,IS08S,"네모 난 약과
","Yakgwa, Korean cookie having a square shape"
728,안쥐,안쥐,IS08S,"안주
",Appetizers served with drinks
729,&#60377;밥,&#60377;밥,IS07S,"쌈
",Rice wrapped in leaves
730,&#59778;쾨기,&#59778;쾨기,IS07S,"살코기
",Flesh
731,식게,식게,IS07S,"식혜
",Korean sweet drink made with fermented rice
732,시리떡,시리떡,IS07S,"시루떡
","Siruddeok, Korean rice cake"
733,쉰다리,쉰다리,IS07S,"단술
",Korean sweet drink made with fermented rice
734,술오매기,술오매기,IS07S,"오매기. 술을 빚기 위하여 만드는 떡인데 둥글고 가운데에 구멍이 있는 조떡
","Rice cake to be an ingredient of alcohol, which has a round shape with a hole in the center"
735,수에,수에,IS07S,"수외. 순대
",Korean sausage
736,소쥐,소쥐,IS07S,"소주
","Soju, Korean distilled liquor"
737,소곰쿡,소곰쿡,IS07S,"소금국
",Plain salty soup
738,소곰,소곰,IS07S,"소금
",Salt
739,셍밥,셍밥,IS07S,"선밥
",Rice which is not cooked enough
740,판고집다리,판고집다리,IS13S,"고집-쟁이. 고집장이, 고집퉁이.
",Stubborn person
741,&#62524;래기,&#62524;래기,IS01S,"몸 일부가 비뚤어진 사람
",Person whose body in part has become twisted
742,텟도독,텟도독,IS12S,"떼도적
",A gang of robbers
743,털북새기,털북새기,IS12S,"털북숭이. 털보
",Hairy person
744,큰어멍,큰어멍,IS11S,"백모
",The eldest aunt
745,큰아방,큰아방,IS11S,"큰삼춘
",The eldest uncle in father side
746,큰아&#58255;,큰아&#58255;,IS11S,"맏아들
",The eldest son
747,큰성,큰성,IS11S,"맏형님
",The eldest brother
748,큰삼춘,큰삼춘,IS11S,"큰-아방. 백부
",The eldest uncle in father side
749,큰사위,큰사위,IS11S,"맏사위
",The eldest son-in-law
750,큰메누리,큰메누리,IS11S,"맏며누리
",The eldest daughter-in-law
751,큰&#58344;,큰&#58344;,IS11S,"맏딸
",The eldest daughter
752,큰누이,큰누이,IS11S,"맏누이
",The eldest sister
753,코홀채기,코홀채기,IS11S,"코흘리개
",Kid
754,촐래기,촐래기,IS10S,"깡똥깡똥 돌아다니는 행동이 경솔한 사람.
",One who wanders around and acts on impulse
755,촐람생이,촐람생이,IS10S,"초라니. 행동이 빠르고 기괴한 사람의 별칭
",Exorcist who appears in woman's dress at a court rite
756,촐군,촐군,IS10S,"촐-놉. 목초를 수확하는 일군
",Harvester of grass
757,촌놈,촌놈,IS10S,"시골뜨기
",Country boy
758,초라니,초라니,IS10S,"촐람생이. 행동이 빠르고 기괴한 사람의 별칭
",Someone who is nimble and excentric
759,첩각씨,첩각씨,IS10S,"첩
",Mistress
760,처아주망,처아주망,IS10S,"처제
",Wife's little sister
761,처아주마님,처아주마님,IS10S,"처형
",Wife's big sister
762,처가칩,처가칩,IS10S,"처갓집
",Wife's parents'
763,&#61956;수,&#61956;수,IS09S,"해녀
",Female diver
764,&#61956;무충이,&#61956;무충이,IS09S,"잠충이, 잠꾸러기
",Sleepyhead
765,&#61956;녜,&#61956;녜,IS09S,"해녀
",Female diver
766,&#61956;녀,&#61956;녀,IS09S,"해녀
",Female diver
767,&#61948;석,&#61948;석,IS09S,"자식
",Child
768,질동무,질동무,IS09S,"길동무
",Companion	
769,돌하르방,돌하르방,IS14S,"(고유명사)돌할아버지 뜻
",Dallharubang
770,할마님,할마님,IS14S,할머니,Grandmother
771,하리비,하리비,IS14S,할애비,Aged man
772,하르바님,하르바님,IS14S,할아버지,Grandfather
773,하님,하님,IS14S,계집종,Maid
774,유지남-우영,유지남우영,IS08S,"유자나무가 있던 밭
",a field used to have citron trees
775,엉덕-물,엉덕물,IS08S,"바윗굴 속에 고인 물
",water kept in a rock cave
776,신-물,신물,IS07S,"인공으로 판 못
",an artificial pond
777,숯굿,숯굿,IS07S,"숯을 구운 자리에 판 물
",a puddle dug at the spot to make charcoals
778,쇠선-밧,쇠선밧,IS07S,"밭이 넓고 골이 길어 밭갈때 소가 휴식을 위해 섰던 밭
",a spot where cows made a stop for a rest while plowing as the field was very large and long
779,병두-왓,병두왓,IS06S,"옛날 병정들 교련장
",a drill field for soldiers in old days
780,반-못,반못,IS06S,"가뭄이 들어도 마르지 않은 물
",this name was derived from the origin the filed wouldn’t get dry even in drought
781,두련-밧,두련밧,IS03S,"둥그스름하고 큰 모양의 밭
",a round and big field
782,돗-바령,돗바령,IS03S,"멧돼지가 많이 몰려와서 짓밟았다하여 붙여진 이름
",this name was derived from the fact lots of wild pigs rushed in and trempled down the place
783,곰숫-터,곰숫터,IS01S,"토굴과 같이 큰 가마를 만들어 숯을 구웠던 곳
",this used to be a spot where they make charcoals in a big pit
784,아낭-거리,아낭거리,IS08S,"아왜나무가 많은 거리
",a street having lots of Awae trees
785,수덕-앞,수덕앞,IS07S,"숲 아래 있는 밭
",a field near the forest
786,수덕,수덕,IS07S,"숲
",a forest
787,당-밧,당밧,IS03S,"당을 모신 밭
",a field having a shrine
788,술,술,IS07S,"숲
",a forest
789,개남-술,개남술,IS01S,"개나무가 많았던 동네
",a village having lots of Gae trees
790,고장남-밧,고장남밧,IS01S,"꽃나무가 많았던 데서 연유
",it suggests there used to be lots of flower plants
791,섬-팟,섬팟,IS07S,"섬처럼 외따로 떨어진 밭
",a remote field like an island
792,올랭이-통,올랭이통,IS08S,"물이 고이는 늪지대
",a swamp where water gathers
793,빌레-통,빌레통,IS06S,"바위틈에 물이 고이는 통이 있는 곳
","a crack in rocks, where water gathers"
794,서근-빌레,서근빌레,IS07S,"누룩돌이 많은 해변
",this beach has lots of rocks having a look of dragon head
795,곰돌렝이,곰돌렝이,IS01S,"돌라진 곳
",a dug or cracked place
796,물골-왓,물골왓,IS05S,"물이 잘 고이던 밭
",this field often bears water
797,쥐영-밧,쥐영밧,IS09S,"쥐들이 사는 구멍이 많았던 밭
",it suggests there were lots of holes where mice lived in
798,살쏜디-왓,살쏜디왓,IS07D,"과녘을 세우고 활을 쏘았던 밭
",this name suggests target boards used to be set up in this field for archery practice
799,골-왓,골왓,IS01S,"굴이 있었던 밭
",this name suggests there used to be a cave in this field
800,노-적눌,노적눌,IS02S,"노적가리 형태의 자갈더미가 있는 곳
",this place is where a pile of pebbles is located like a stack of grain
801,지왓-골,지왓골,IS09S,"기왓장이 많이 널려있는 밭
",a field having lots of roofing tiles around
802,관가름,관가름,IS01S,"주초석과 기왓장, 자기 파편들이 많이 널려있는 곳
","this was where foundations stones, roofing tiles and broken porcelain pieces are often found"
803,생이집-목,생이집목,IS07S,"상여집이 있었던 목
",a spot where a hut to keep bier and accessories was located
804,곱은 여,곱은 여,IS01S,"수면에 보일 듯 말듯 한 암초
",a reef uneasy to find
805,게와당,게와당,IS01S,"호주머니모양으로 생긴 마당
",a yard looking like a pocket
806,산물깍,산물깍,IS07S,"용천수가 나는 갯가
",a stream by which springwater flows out
807,오따니여,오따니여,IS08S,"가마우지가 많이 몰려있는 암초
",a reef where cormorants gather
808,구린질 목,구린질 목,IS01S,"속이 텅 빈, 웅덩이가 있는  길목 
",a corner where there is an empty puddle
809,개낭동산,개낭동산,IS01S,"누리장나무가 많이 있는 동산
",a hill having Nurijang trees
810,잰잰한여,잰잰한여,IS09S,"조그마한 암초들이 줄지여 있는 암초
",a group of small reefs
811,고동여,고동여,IS01S,"소라가 많이 잡히는 암초
",a reef where turban shells can get catched a lot
812,왕모살냇기,왕모살냇기,IS08S,"큰 모래가  많은 해변
",a beach which was constituted by big sands
813,갱이여,갱이여,IS01S,"게 모양으로 생긴 암초
",a reef having a look of a crab
814,개압코지,개압코지,IS01S,"포구앞에 있는 곳
",this name suggests it is located in front of the port
815,안캣머리,안캣머리,IS08S,"비교적 포구 안에 자리잡고 있다고 해서 유래
",this name suggests it is located inside the port
816,화성개,화성개,IS14S,"삼신인이 꽃상자를 발견하고, 그 떠오른 곳
",a port where the three spirits found a flower box
817,터우개,터우개,IS12S,"떼배를 정박하던 곳
",a spot where they used to anchor rafts
818,황노알,황노알,IS14S,"삼선녀가 상륙하던 무렵의 황금빛 노을을 뜻하는 지명
",it means the golden sunset when the three fairies came down
819,&#58726;성개,&#58726;성개,IS05S,"삼선녀가 오곡의 씨와 송아지와 망아지를 끌고 상륙했던 곳
","this place was where the three fairies came down with grain seeds, a calf and a foal"
820,괸돌,괸돌,IS01S,"고인돌
",a dolmen
821,복대기왓,복대기왓,IS06S,"풀이 울창하게 욱어진 밭
",a grassy field
822,먹벵디,먹벵디,IS05S,"주변에 못이 있었고 지역이 넓은데서 유래
",this name was derived from the fact there was a pond in the neighborhood and the area was spacy
823,마풀림동산,마풀림동산,IS05S,"본향제인 마풀림제를 지낼 때, 신의 의복을 내걸어 말렸다는 터
",this was a spot where a gods costume used to be hung to dry during a sharminst service for the village
824,당동산,당동산,IS03S,"본향당이 있던 동산
",this name was derived from the hill having a shrine
825,상둣동산,상둣동산,IS07S,"옛날 향회를 했던 곳
",this used to be a place where villagers gather and have a meeting
826,물곰밧동산,물곰밧동산,IS05S,"물에 잠기는 밭이 있는 동산
",a hill having a field which is easily sunk under water
827,모른조동산,모른조동산,IS05S,"거칠고 조악한 땅의 뜻
",a rough and coarse field
828,두러물동산,두러물동산,IS03S,"비가오면 물이 빠지지 않는 동산
",a hill which is not well drained when raining
829,금붕애동산,금붕애동산,IS01S,"금붕어 모양으로 생긴 동산
",a hill looks like a goldfish
830,촘생이-케,촘생이케,IS10S,"촘생은 목초, 목초가 많았던 넓은 지역
",this name suggests this place was abundant in grass for pasturage
831,찍-여,찍여,IS09D,"평평한 곳에 오뚝하게 박혀있는 모양을 한 여
","this name suggests a rock stuck into the flat ground, standing upright"
832,너른-걸,너른걸,IS02S,"걸은 돌멩이나 바닥돌로 이루어진 바다 밭을 의미하는 바다지명의 접미사이다. 그 지역이 넓어서 붙여진 이름
","Geol implies stone or sea bed, and this name means a large geol"
833,섯-지겁,섯지겁,IS07S,"서쪽의 벼랑
",a cliff in the west
834,베락-마진-소,베락마진소,IS06S,"베락-마진-소
",this name was derived from the origin that there was a thunderbolt striking near a cow
835,큰-속동-개-코지,큰속동개코지,IS11S,"큰 파도가 코지로 치면 속돌이 많이 올라온다. 
",lots of stones in the water are revealed when a big wave hits the cape
836,마풀림,마풀림,IS05S,"풀들이 무성하게 자라는 곳
",this name suggests a grassy place
837,보재기-다루,보재기다루,IS06S,"어부가 소유한 작은 밭
",this name suggests a small field owned by a fisher
838,머생이-왓,머생이왓,IS05S,"머생이는 빌레가 계속 연결된 상태, 그런 형태의 밭
",Meosaengyi is broad and flat rocks linked to each other and this name means a field of such feature
839,징줄-논,징줄논,IS09S,"징줄은 수초를 뜻함, 이 지역에 징줄이 자생하여 불려진 이름
",Jingjul is a water plant and it spontaenously grows in this area
840,꼼장이,꼼장이,IS01D,"잘 보이지 않는 고망논이라는 뜻
",it means a Gomangnon which is not easily seen
841,빌륵-밧,빌륵밧,IS06S,"습기가 많아 붙여진 이름
",this name came from its dampness
842,고냉이-머들-아즌-밧,고냉이머들아즌밧,IS01S,"밭 가운데 고인돌처럼 큰 돌이 앉아 있어 붙여진 이름 
",this name was derived from the fact there is a large rock like a dolmen(Goindol) standing in the middle of the field
843,도채비-골,도채비골,IS03S,"가축의 뼈 등이 습도가 높은 날 밤에 인광이 나타나므로 도깨비가 나타나는 지역으로 불림
",this name was derived from the origin that they thought phosphorescence from animals as monster(Doggaebi)
844,불미-왓,불미왓,IS06S,"지형이 불미 형태에서 유래
",this name was derived from its bellows-shaped feature
845,혼착-밧,혼착밧,IS14S,"한쪽 밭을 말함, 넓은 밭을 분할하여 자녀에게나누어 준 밭
",it means part of a large field which was divided and shared by ones children
846,구럼비,구럼비,IS01S,"구엄->구엄부->구럼비로 변형되어 불림, 옛날 해안가를 중심으로 초가로 된 9개의 작은 암자들이 있어 구럼비/구암비라 불림
","this name came from the origin that 9 small buddhist temples with a straw-thatched roof along the beach. the word, Gureombi originates through Gueop from Gueopbu"
847,꿩-망-동산,꿩망동산,IS01D,"꿩몰이 사냥을 할 때 꿩의 위치를 살피는 동산
","while hunting pheasants, they detected pheasants on this hill"
848,매-아진-돌,매아진돌,IS05S,"매가 날아 와 앉았던 돌
",a rock used to be sit on by hawks
849,여이-물,여이물,IS08S,"여우가 나타났던 옆에서 솟는 물
",a fountain by which foxes showed up
850,섯-언-새미,섯언새미,IS07S,"서쪽에 있는 차가운 샘
",a cold well in the west
851,동-언-새미,동언새미,IS03S,"동쪽에 있는 차가운 샘
",a cold well in the east
852,굿-밧-거리,굿밧거리,IS01S,"지난 날 굿을 많이하여 불려지는 이름
",this name came from the origin that they often performed sharmanist services in the past
853,거믄-머들,거믄머들,IS01S,"검은색의 돌무더기
",this name suggests a pile of dark stones
854,노린-빌레,노린빌레,IS02S,"붉은 누런색을 띠는 암반
",this name suggests the base rock has a redish yellow color
855,돌-혹,돌혹,IS03S,"돌절구 같은 데서 샘이나와 붙여진 명칭
",this name has an origin that water sprang up from a stone mortar
856,쇠-에움-밧,쇠에움밧,IS07S,"자신의 밭에 소를 가두어 방목하던 곳
",this spot was used as a ranch for raising cows in ones field
857,마장-밧,마장밧,IS05S,"자신의 밭에 마를 가두어 방목하던 곳
",this spot was used as a ranch for raising horses in ones field
858,행기-소,행기소,IS14S,"기우제 지낼 때 제관들이 목욕하여 기우제 지내는 장소
",this is a place where officiating sharmanist performed a ritual service praying for rain by taking a bath
859,합순-밧,합순밧,IS14S,"합순은 풀이 있는 밭, 어려운 시절 합순을 식용으로 범벅을 만들어 먹음 
",Hamsun is a kind of grass which used to be eaten when people didnt have enough food
860,거무리-왓,거무리왓,IS01S,"사계 사람이 시집와서 살았던 곳
",this name was derived from the origin that a bride from Sagye came to live here
861,번제-드르,번제드르,IS06S,"동네사람들이 추렴하여 나누어주는 곳이라하여 붙여진 이름
",this name was derived from the origin that villagers used to collect things to share here
862,식-궤,식궤,IS07S,"식은 고양이, 고양이가 살았던 궤
","Sik means a cat, and this name suggests a cabin where a cat used to live in"
863,졸레-왓,졸레왓,IS09S,"쭉정이를 주고 바꾼 밭
",this name means that this field was sold in exchange for empty heads of grain
864,벨진-마루,벨진마루,IS06S,"별도로 진을 치고 방어했다는 동산
",a special camp was set up to defend on this hlll
865,쇠-저리는-자리,쇠저리는자리,IS07S,"소를 배로 운반할 때 소를 묶고 풀었던 자리를 말한다
",this place used to be a spot where they tie and untie cows while displacing them
866,콧-쿰,콧쿰,IS11S,"구멍이 마치 콧구멍처럼 두개 뚫려 있는 지형 
",this place features two large holes like nostrils
867,벵풍-석,벵풍석,IS06S,"절벽이 병풍을 펼쳐 놓은 것처럼 주상절리가 발달된 지형 
","this place features well-developped pillar-shaped joint, whose cliff looks like a unfolded screen"
868,두머니-물,두머니물,IS03S,"두는 머리를 의미, 예로부터 아기엄마들이 젖이 잘 나오지 않을 때 이곳에 와서 두머니물을 먹고 목욕하면 젖이 잘 나온다는 데서 붙여진 이름
","Du means head, and this name was derived from the origin that mothers of infants came here, drank the water and bathed in it for better pumping of their breast milk"
869,물깍-먼-여,물깍먼여,IS05S,"해변 가에서 멀리 떨어진 여
",this means a remote rock from the beach
870,공물깍-먼-여,공물깍먼여,IS01S,"공물깍 먼 곳에 있는 여
",this means a remote rock from Gongmulggak
871,정포제-동산,정포제동산,IS09S,"마을제인포제를 지냈던 동산
",this name suggests people performed a Poje(a religious service for the village) on this hill
872,둠부-소,둠부소,IS03S,"바다풀인 듬북이 밀려드는 연못
",this name suggests the pond has lots of sea weed called Deumbuk coming from the sea
873,겡이-돌레,겡이돌레,IS01S,"바다에 사는 게 모양의 작은 밭
",this name suggests the field has a look of a crab
874,빈네-코지,빈네코지,IS06S,"그 모양이 여자머리에 꽂는 비녀를 닮았다고 하여 붙여진 이름
","this name was derived from its looks of Binyeo, a Korean hairpin for woman"
875,진-모루,진모루,IS09S,"왜란때 군사가 진을 쳤던 곳
",this name was derived from the fact soldiers used to pitch a camp during Japanese invasion of Korea in 1592
876,당-팟,당팟,IS03S,"예전 당이 있었던 자리 
",this name was derived from the fact there used to be a shrine
877,무남-통,무남통,IS05S,"물남는 통이 무남통으로 불림
",this name came from mulnamneun-tong implying abundancy in water
878,고막-곶,고막곶,IS01S,"오막살이를 지어 살던 곳
",this name suggests that it used to be a place where people put up a shanty to live in
879,샛-도,샛도,IS07S,"사이에 낀 입구
",it means an entrance between two things
880,송남-모루,송남모루,IS07S,"마루모양이 학이 날개를 벌려 새끼를 품을 형세라 하여 붙여진 이름
",this name was derived from the looks of the ridge reflecting a crane spreading the wings to embrace its chickens
881,한-무덤-골,한무덤골,IS14S,"많은 무덤이 있는 곳
",this name was derived from the fact there were lots of tombs
882,수루막-동산,수루막동산,IS07S,"늘어진 막사 모양의 동산
",this name was derived from the looks of camps placed in a row
883,외진-모루,외진모루,IS08S,"군사의 외진치고 있는 모습의 동산
",this name was derived from the looks of soldiers pitching a camp
884,기진-모루,기진모루,IS01S,"장군 깃발이 휘날리는 모습을 한 형상의 동산
",this name was derived from the looks of a generals flag flapping in the wind
885,애기난-갯도,애기난갯도,IS08S,"냇가 입구에서 애기를 낳았다 하여 불려짐 
",this name suggests there was a baby delivery at this entrace of the stream
886,구진내-도,구진내도,IS01S,"구진은 불편함을 말한다. 하천 건너다니기 불편해서 붙여진 이름
",this name was derived from the fact it was difficult to cross the stream as Gujin means difficulty
887,닥-돌레,닥돌레,IS03S,"닥나무를 키웠던 작은 밭
",this name suggests dak trees(paper mulberry) used to be raised in this field
888,도고리-왓,도고리왓,IS03S,"도고리는 소나 돼지의 여물통으로 도고리를 만들어주고 얻은 밭
",this name was derived from the fact this field was given in exchange of making a dogori(a manger) as a gift
889,쳇대-왓,쳇대왓,IS10S,"촛대를 하나 만들어 주고받은 밭이라 하여 불려짐 
",this name was derived from the fact this field was given in exchange of making a candlestick
890,가문-다리,가문다리,IS01S,"가문는 가늘다의 뜻으로 외나무다리가 있었던 곳
",this name including a word Gamun meaning thin was derived from the fact there used to be a single-log bridge
891,제-돌레,제돌레,IS09S,"제나무가 있었던 작은 밭
",it means this field used to have a  tree called Je tree
892,소근-밧,소근밧,IS07S,"소근은 고생하다는 뜻으로 그만큼 힘들었던 밭
",Sogeun means trouble and this name suggests there were lots of works in the field
893,세밋-도,세밋도,IS07S,"샘이 있는 곳으로 가는 길 입구
",this name was derived from the fact it is the entrance to the well
894,매남-빌레,매남빌레,IS05S,"매화나무가 많은 암반
",this name was derived from the base rock having lots of Japanese apricot trees
895,건저귀-왓,건저귀왓,IS01S,"허물을 고쳐주는 귀신이 살고 있는 밭
",it was believed that a ghost correcting faults used to live in this field
896,검붕낭앝-밧,검붕낭앝밧,IS01S,"풍개나무가 있던 밭
",this field used to have Punggae trees around
897,제민당,제민당,IS09S,"조문하던 곳, 사람이 죽으면 토롱해 두었던 밭들이 있던 곳 
",this is used to be a field to simply bury the dead
898,걱대-왓,걱대왓,IS01S,"솟대를 세웠던 밭
",this name refers to a field where religious wooden sculptures were posted
899,물마근-밧,물마근밧,IS05S,"물이 흐름을 막는 형국의 밭
",it refers to a field stopping the water flow
900,모-팡,모팡,IS05S,"작은 분지형태로 높이 1m, 남북 길이 2m, 동서 길이 1m 정도의 바위가 솟아있는 형국에서 불려짐
","a kind of small  basin. Iwhich has a rock that is 1 meter high, 2 meter-long between north and south, 1 meter-long between east and west"
901,굴메-소,굴메소,IS01S,"굴메즉 그림자가 드리운 못
",it means a pond over which a shadow was casted
902,구명-물,구명물,IS01S,"굴명물이 와전, 여름철에 천둥번개가 치면서 땅이 울려야 솟아나는 샘을 구명물이라한다
",this name came from Gulmyeongmul which is a fountain springing up from the ground hit by lightning in summer season
903,마근-물,마근물,IS05S,"저수지 물이 합류되는 지점, 마근는 막다를 뜻함
",it means a spot where water in the reserves joins. mageun means prevent
904,폴두-곱지,폴두곱지,IS13S,"하천변의 도로형태가 팔이 굽은 모양이라 하여 붙여진 이름
",this name was derived from the fact the road along the stream has a look of a bended arm
905,안 게,안 게,IS08S,"게의 집게발 모양을 하고 있어 붙여진 이름 
",this name came from the looks of crab claw
906,셋도리-통,셋도리통,IS07S,"두 번째 위치에 있다고 하여 붙여진 이름
",it means that took the second place
907,무근-가름,무근가름,IS05S,"설촌 되기 전 동네라하여 불려진 이름
",this name was derived from the fact the community was existing even before forming a village
908,존-내-틈,존내틈,IS09S,"작은 내 사이란 뜻으로 불려진 이름
",this refers to a space between small streams
909,제낭-코지,제낭코지,IS09S,"노린재나무가 있는 곳이라하여 불려진 이름
",this name suggests there are Norinjae trees
910,움통-밧,움통밧,IS08S,"지형이 움푹 들어가 있어 불려진 이름
",it suggests the ground is sunken
911,살체기-도,살체기도,IS07S,"살을 이용하여 엉기성기 만든문을 입구에 설치 한 것으로 머체동산위에 설치하여 불려진 이름
",this gate roughly made with wooden frames was installed over meoche hill
912,무주-왓,무주왓,IS05S,"주인이 없는 넓은 초원에서 우마들을 훈련시킨데서 불려진 이름 
",this name suggests cows and horses were trained in this deserted wide field
913,볼레-골,볼레골,IS06S,"보리수나무가 많아 불려진 이름
",this name was derived from the fact there are lots of borisu(bo tree)
